Paranacity;RS 15 - Maringá;2.310;2.015;2.246
Paranaguá;RS 01 - Paranaguá;39.764;32.242;28.385
Paranapoema;RS 14 - Paranavaí;...;...;...
Paranavaí;RS 14 - Paranavaí;33.644;30.190;31.002
Pato Bragado;RS 20 - Toledo;...;...;...
Pato Branco;RS 07 - Pato Branco;33.251;29.178;22.974
Paula Freitas;RS 06 - União da Vitória;...;...;...
Paulo Frontin;RS 06 - União da Vitória;...;...;...
Peabiru;RS 11 - Campo Mourão;...;...;...
Perobal;RS 12 - Umuarama;882;727;827
Pérola;RS 12 - Umuarama;...;...;...
Pérola d'Oeste;RS 08 - Francisco Beltrão;...;...;...
Piên;RS 02 - Curitiba;...;...;...
Pinhais;RS 02 - Curitiba;49.295;44.855;36.280
Pinhal de São Bento;RS 08 - Francisco Beltrão;...;...;...
Pinhalão;RS 19 - Jacarezinho;74;70;74
Pinhão;RS 05 - Guarapuava;4.000;3.521;3.637
Piraí do Sul;RS 03 - Ponta Grossa;6.013;5.499;5.745
Piraquara;RS 02 - Curitiba;33.428;31.749;31.129
Pitanga;RS 05 - Guarapuava;6.535;5.711;5.863
Pitangueiras;RS 17 - Londrina;...;...;...
Planaltina do Paraná;RS 14 - Paranavaí;...;...;...
Planalto;RS 08 - Francisco Beltrão;...;...;...
Ponta Grossa;RS 03 - Ponta Grossa;143.211;132.986;113.182
Pontal do Paraná;RS 01 - Paranaguá;23.419;22.377;20.811
Porecatu;RS 17 - Londrina;4.833;4.457;4.717
Porto Amazonas;RS 03 - Ponta Grossa;1.359;1.258;1.326
Porto Barreiro;RS 05 - Guarapuava;...;...;...
Porto Rico;RS 14 - Paranavaí;1.969;1.796;1.681
Porto Vitória;RS 06 - União da Vitória;...;...;...
Prado Ferreira;RS 17 - Londrina;1.736;1.736;1.524
Pranchita;RS 08 - Francisco Beltrão;1.113;992;1.046
Presidente Castelo Branco;RS 15 - Maringá;1.804;1.075;1.804
Primeiro de Maio;RS 17 - Londrina;3.011;2.744;2.953
Prudentópolis;RS 05 - Guarapuava;9.323;8.503;8.521
Quarto Centenário;RS 11 - Campo Mourão;...;...;...
Quatiguá;RS 19 - Jacarezinho;1.853;1.694;1.835
Quatro Barras;RS 02 - Curitiba;6.914;6.407;6.154
Quatro Pontes;RS 20 - Toledo;...;...;...
Quedas do Iguaçu;RS 10 - Cascavel;5.481;4.740;4.803
Querência do Norte;RS 14 - Paranavaí;601;533;596
Quinta do Sol;RS 11 - Campo Mourão;...;...;...
Quitandinha;RS 02 - Curitiba;680;538;610
Ramilândia;RS 09 - Foz do Iguaçu;...;...;...
Rancho Alegre;RS 18 - Cornélio Procópio;...;...;...
Rancho Alegre D'Oeste;RS 11 - Campo Mourão;...;...;...
