Iporã;RS 12 - Umuarama;6.175;5.445;5.782
Iracema do Oeste;RS 10 - Cascavel;901;826;847
Irati;RS 04 - Irati;20.991;19.061;18.895
Iretama;RS 11 - Campo Mourão;3.562;3.157;3.371
Itaguajé;RS 15 - Maringá;1.772;1.617;1.717
Itaipulândia;RS 09 - Foz do Iguaçu;4.300;3.895;4.028
Itambaracá;RS 18 - Cornélio Procópio;2.244;2.071;2.244
Itambé;RS 15 - Maringá;2.689;2.453;2.563
Itapejara d'Oeste;RS 07 - Pato Branco;4.041;3.614;3.660
Itaperuçu;RS 02 - Curitiba;8.340;7.816;7.494
Itaúna do Sul;RS 14 - Paranavaí;1.347;1.244;1.311
Ivaí;RS 03 - Ponta Grossa;3.085;2.776;2.924
Ivaiporã;RS 22 - Ivaiporã;13.812;12.440;13.018
Ivaté;RS 12 - Umuarama;2.820;2.580;2.729
Ivatuba;RS 15 - Maringá;1.029;907;966
Jaboti;RS 19 - Jacarezinho;2.065;1.915;2.012
Jacarezinho;RS 19 - Jacarezinho;16.308;14.931;15.601
Jaguapitã;RS 17 - Londrina;7.368;6.771;6.128
Jaguariaíva;RS 03 - Ponta Grossa;12.617;11.361;12.617
Jandaia do Sul;RS 16 - Apucarana;9.605;8.585;8.924
Janiópolis;RS 11 - Campo Mourão;2.283;2.069;2.233
Japira;RS 19 - Jacarezinho;1.398;1.291;1.366
Japurá;RS 13 - Cianorte;3.881;3.632;3.839
Jardim Alegre;RS 22 - Ivaiporã;3.813;3.490;3.704
Jardim Olinda;RS 14 - Paranavaí;701;...;698
Jataizinho;RS 17 - Londrina;4.986;4.762;4.845
Jesuítas;RS 10 - Cascavel;3.495;3.208;3.389
Joaquim Távora;RS 19 - Jacarezinho;5.055;4.585;4.967
Jundiaí do Sul;RS 19 - Jacarezinho;1.152;1.051;1.104
Juranda;RS 11 - Campo Mourão;3.204;2.906;3.054
Jussara;RS 13 - Cianorte;3.215;3.119;3.049
Kaloré;RS 16 - Apucarana;1.881;1.834;1.822
Lapa;RS 02 - Curitiba;13.834;12.581;12.633
Laranjal;RS 05 - Guarapuava;1.039;932;990
Laranjeiras do Sul;RS 05 - Guarapuava;11.944;10.842;10.564
Leópolis;RS 18 - Cornélio Procópio;1.339;1.234;1.316
Lidianópolis;RS 22 - Ivaiporã;1.362;1.277;1.333
Lindoeste;RS 10 - Cascavel;1.533;1.402;1.440
Loanda;RS 14 - Paranavaí;10.077;8.866;9.427
Lobato;RS 15 - Maringá;2.025;1.879;2.022
Londrina;RS 17 - Londrina;261.942;234.042;169.685
Luiziana;RS 11 - Campo Mourão;2.244;2.051;2.147
Lunardelli;RS 22 - Ivaiporã;1.785;1.630;1.733
Lupionópolis;RS 17 - Londrina;2.291;2.100;2.263
Mallet;RS 04 - Irati;4.067;3.629;3.671
Mamborê;RS 11 - Campo Mourão;5.113;4.681;4.922
Mandaguaçu;RS 15 - Maringá;12.847;11.872;12.428
Mandaguari;RS 15 - Maringá;16.036;14.613;15.112
Mandirituba;RS 02 - Curitiba;5.893;5.395;5.628
Manfrinópolis;RS 08 - Francisco Beltrão;429;372;414
Mangueirinha;RS 07 - Pato Branco;4.859;4.337;4.381
Manoel Ribas;RS 22 - Ivaiporã;3.692;3.294;3.503
Marechal Cândido Rondon;RS 20 - Toledo;22.772;20.617;20.098
Maria Helena;RS 12 - Umuarama;2.222;2.049;2.139
Marialva;RS 15 - Maringá;15.000;12.500;14.859
Marilândia do Sul;RS 16 - Apucarana;3.002;2.759;2.895
Marilena;RS 14 - Paranavaí;2.554;2.365;2.468
Mariluz;RS 12 - Umuarama;3.523;3.513;3.523
Maringá;RS 15 - Maringá;172.547;149.242;137.907
Mariópolis;RS 07 - Pato Branco;2.120;1.883;1.903
Maripá;RS 20 - Toledo;2.098;1.834;1.987
Marmeleiro;RS 08 - Francisco Beltrão;4.731;4.171;4.136
Marquinho;RS 05 - Guarapuava;847;740;793
Marumbi;RS 16 - Apucarana;1.963;1.727;1.727
Matelândia;RS 09 - Foz do Iguaçu;6.223;5.812;5.929
Matinhos;RS 01 - Paranaguá;36.495;34.789;28.652
Mato Rico;RS 22 - Ivaiporã;662;612;644
Mauá da Serra;RS 16 - Apucarana;3.742;3.450;3.538
Medianeira;RS 09 - Foz do Iguaçu;21.233;19.283;18.315
Mercedes;RS 20 - Toledo;2.650;2.425;2.525
Mirador;RS 14 - Paranavaí;883;825;860
Miraselva;RS 17 - Londrina;855;847;850
Missal;RS 09 - Foz do Iguaçu;3.052;2.627;2.733
Moreira Sales;RS 11 - Campo Mourão;4.575;4.210;4.469
Morretes;RS 01 - Paranaguá;5.534;5.038;5.159
Munhoz de Melo;RS 15 - Maringá;1.625;1.625;1.625
Nossa Senhora das Graças;RS 15 - Maringá;1.171;...;1.171
Nova Aliança do Ivaí;RS 14 - Paranavaí;501;448;490
Nova América da Colina;RS 18 - Cornélio Procópio;1.210;1.115;1.160
Nova Aurora;RS 10 - Cascavel;4.715;4.243;4.444
Nova Cantu;RS 11 - Campo Mourão;2.126;1.939;2.054
Nova Esperança;RS 15 - Maringá;10.794;9.590;9.693
Nova Esperança do Sudoeste;RS 08 - Francisco Beltrão;1.106;941;974
Nova Fátima;RS 18 - Cornélio Procópio;3.249;2.620;2.728
Nova Laranjeiras;RS 05 - Guarapuava;1.199;1.036;1.010
Nova Londrina;RS 14 - Paranavaí;5.377;4.761;5.186
Nova Olímpia;RS 12 - Umuarama;2.617;2.395;2.506
Nova Prata do Iguaçu;RS 08 - Francisco Beltrão;3.678;3.262;3.400
Nova Santa Bárbara;RS 18 - Cornélio Procópio;1.718;1.650;1.680
Nova Santa Rosa;RS 20 - Toledo;2.890;2.576;2.720
Nova Tebas;RS 22 - Ivaiporã;1.665;1.496;1.569
Novo Itacolomi;RS 16 - Apucarana;1.007;909;974
Ortigueira;RS 21 - Telêmaco Borba;6.031;5.610;5.614
Ourizona;RS 15 - Maringá;1.418;1.302;1.379
Ouro Verde do Oeste;RS 20 - Toledo;2.184;2.010;2.083
Paiçandu;RS 15 - Maringá;20.363;18.789;19.374
Palmas;RS 07 - Pato Branco;16.000;14.793;13.775
Palmeira;RS 03 - Ponta Grossa;9.893;9.026;9.459
Palmital;RS 05 - Guarapuava;4.025;3.681;3.688
Palotina;RS 20 - Toledo;15.429;13.992;14.078
Paraíso do Norte;RS 14 - Paranavaí;5.500;4.980;5.237
Paranacity;RS 15 - Maringá;4.250;3.874;4.171
Paranaguá;RS 01 - Paranaguá;42.614;39.666;38.491
Paranapoema;RS 14 - Paranavaí;1.198;1.190;1.150
Paranavaí;RS 14 - Paranavaí;41.239;37.191;38.459
